Link,Tags,Hubs,Unique user,Company name,Username,Number of comments,Number of positive votes,Number of negative votes,Number of views,Number of bookmarks
/ru/post/546298/,"android,kotlin,kotlin android,android development,lambdas,method reference,lambda","Serverless,Kotlin,Разработка под Android",False,,gevondov,9,0,0,1000,23
/ru/company/otus/blog/546070/,"android,kotlin,Блог компании OTUS,android development,kotlin coroutines","Kotlin,Разработка под Android,Программирование",True,otus,MaxRokatansky,0,0,0,1000,40
/ru/post/545926/,"android,reaction,Kotlin Result,kotlin,android development","Kotlin,Разработка под Android,Open source",False,,aTable7,13,0,0,1000,39
/ru/post/544680/,"ViewPager2,Kotlin,Fragmet,Java,Динамическая замена,Программная замена,Свайпать,Android,Swipe,Листать","Java,Kotlin,Разработка под Android,Разработка мобильных приложений",False,,DolgopolovDenis,5,0,0,2700,17
/ru/company/badoo/blog/545260/,"android,kotlin compiler,kotlin,Блог компании Badoo,android development","Kotlin,Разработка под Android,Разработка мобильных приложений,Программирование",True,badoo,ChPr,5,0,0,3500,21
/ru/company/google/blog/545474/,"Kotlin,Jetpack,Compose,UI,Android,Блог компании Google Developers","Kotlin,Разработка под Android,Разработка мобильных приложений",True,google,Developers_Relations,1,0,0,1400,14
/ru/company/epam_systems/blog/545040/,"Kotlin,code style,Блог компании EPAM,Kotlin code style,ktlint",Kotlin,True,epam_systems,ElenaSpb,2,0,0,1900,18
/ru/post/544560/,"java,kotlin","Java,Kotlin",False,,koowaah,11,0,0,6000,42
/ru/post/544538/,"docker,kotllin,docker-compose,digitalocean,ktor,gradle,java,microservice","Kotlin,Java,Микросервисы,Gradle,Программирование",False,,Reformat,5,0,0,14000,30
/ru/post/543830/,"mobile,android,паттерны,kotlin,architecture","Kotlin,Разработка под Android,Разработка мобильных приложений",False,,TranE91,6,0,0,4200,46
/ru/company/yandex/blog/542454/,"корутины,многопоточность,kotlin multiplatform,flow,Блог компании Яндекс","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",True,yandex,Leono,2,0,0,5800,21
/ru/company/nspk/blog/542754/,"Блог компании Мир Plat.Form (НСПК),matcher,functional testing,kotest,assertion,bdd,kotlin,qa automation,behavior driven development,kotlin test,data driven testing","Kotlin,Тестирование IT-систем,Тестирование веб-сервисов",True,nspk,kochetkov-ma,3,0,0,6800,17
/ru/company/nix/blog/541722/,"kotlin,Блог компании NIX","Kotlin,Разработка под Android,Программирование",True,nix,NIX_Solutions,0,0,0,5800,38
/ru/company/simbirsoft/blog/542398/,"чистая архитектура,android,рефакторинг,Блог компании SimbirSoft,мобильная разработка,string resources,абстракция","Kotlin,Разработка под Android,Разработка мобильных приложений,Проектирование и рефакторинг",True,simbirsoft,mobileSimbirSoft,3,0,0,4200,24
/ru/post/542242/,"пиксель-арт,пиксельная графика,kotlin,программирование,excel,ретрокомпьютинг","Kotlin,Старое железо,Программирование",False,,foxcode85,25,0,0,13000,26
/ru/post/541840/,"корутины,kotlin,parallel,coroutines,concurrency","Kotlin,Программирование",False,,foxcode85,14,0,0,17000,19
/ru/company/dododev/blog/541650/,"android,Блог компании Dodo Engineering,многопоточность,дедлок,dodopizzaengineering,kotlin,разработка приложений,coroutines,dodo engineering,dodo,runblocking","Kotlin,Разработка под Android,Разработка мобильных приложений,Программирование",True,dododev,maxkachinkin,5,0,0,2700,33
/ru/post/568792/,"retrofit2,example,hilt,mvvm,kotlin,android studio,coroutines,code,android development","Kotlin,Разработка под Android",False,,DBNSTR,5,0,0,805,25
/ru/company/JetBrains/blog/567762/,"jetbrains,toolbox,Блог компании JetBrains,update,install,intellij","Kotlin,Программирование",True,JetBrains,dievsky,18,0,0,2300,7
/ru/company/badoo/blog/566380/,"плагины,ios,kotlin multiplatform,parcelable,kotlin,плагин,компилятор,Блог компании Badoo","Kotlin,Разработка под Android,Разработка под iOS,Программирование",True,badoo,arkivanov,0,0,0,2300,9
/ru/post/566012/,"json,jq,bash,ndjson,kotlin,jvm,shell","Визуализация данных,Kotlin,Разработка под Linux,Функциональное программирование,Программирование",False,,Reformat,0,0,0,3200,9
/ru/post/565576/,"jq,json,docker,ndjson,kotlin,analyze","Kotlin,Разработка под Linux,Java,Функциональное программирование,Программирование",False,,Reformat,26,0,0,400,28
/ru/company/wrike/blog/565436/,"Блог компании Wrike,mvvm,android architecture,ViewModel,android development","Kotlin,Разработка под Android,Разработка мобильных приложений",True,wrike,sshustoff,2,0,0,2600,25
/ru/company/yota/blog/565440/,"android,Блог компании Yota,kotlin,сборка,gradle,plugin","Kotlin,Разработка под Android,Groovy & Grails,Gradle",True,yota,Sistein,2,0,0,3000,31
/ru/company/citymobil/blog/565402/,"Блог компании Ситимобил,ситимобил,статистический анализ,code-style,detekt,статический анализ кода",Kotlin,True,citymobil,Evleaps,0,0,0,1700,17
/ru/post/564818/,"android,quiz,mvp,kotlin","Kotlin,Разработка под Android",False,,Jho00,2,0,0,3500,21
/ru/company/funcorp/blog/564514/,"разработка мобильных приложений,Android Profiler,android,Блог компании FUNCORP,мобильные приложения,kotlin,профайлер,google,андроид","Kotlin,Разработка под Android,Разработка мобильных приложений",True,funcorp,i15in,0,0,0,7300,44
